startup_name,sector,city,investors,funding_stage,amount_usd,year
Cashkumar,Consumer Internet,Bangalore,LetsVenture,Seed,735000.0,2018
Edyoo,E-Commerce,Bangalore,RS Shanbag,Seed,735000.0,2018
Aashiyaan,Fintech,Kolkata,"Insistor, Oikocredit",Seed,2000000.0,2018
Smartivity,Other,Delhi,"Ashish Kacholi, S Chand Group",Seed,2000000.0,2018
Bonphulapl,Other,Delhi,Atul Gupta and Saurabh Rastogi,Seed,293000.0,2018
Acko,Consumer Internet,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed,12000000.0,2018
Hwell24,Healthcare,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed,200000.0,2018
Toffee,Consumer Internet,Gurgaon,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed,1500000.0,2018
Tonetag,Technology,Bangalore,Amazon Inc. and Mastercard,Private Equity,8000000.0,2018
Events High,Consumer Internet,Bangalore,Treebo,Private Equity,,2018
Stellaps,Technology,Bangalore,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,14000000.0,2018
